name,img_route,cloth_category,cloth_subcategory,patron,sleeve,skirt,neckline,material,fit,isCold,isRainy,isWet,isTempered,isHot,nota
17,Flower Power Travel Poncho,Flower_Power_Travel_Poncho/img_00000003.jpg,3,6,6,1,3,4,3,2,0,0,0,1,1,4
19,Cuffed Denim Cutoffs,Cuffed_Denim_Cutoffs/img_00000010.jpg,6,1,6,3,3,4,1,3,0,0,0,1,1,4
27,Floral Eyelet Tank,Floral_Eyelet_Tank/img_00000022.jpg,1,5,4,1,2,2,3,3,0,0,0,1,0,1
33,Crochet-Paneled Button-Down Blouse,Crochet-Paneled_Button-Down_Blouse/img_00000054.jpg,1,1,2,1,3,1,3,3,1,0,0,1,0,3
42,Faux Leather Flared Skirt,Faux_Leather_Flared_Skirt/img_00000050.jpg,6,2,4,3,3,4,4,3,0,0,0,1,1,5
51,Heart Print Boxy Tee,Heart_Print_Boxy_Tee/img_00000027.jpg,1,6,2,2,3,1,3,3,0,0,0,1,0,3
61,Colorblock Performance Leggings,Colorblock_Performance_Leggings/img_00000036.jpg,6,3,6,3,3,4,3,3,1,1,0,1,1,4
69,Marled Knee-Length Shorts,Marled_Knee-Length_Shorts/img_00000026.jpg,6,4,6,3,3,4,3,3,0,0,1,1,0,4
75,Semi-Sheer Striped Sweater,Semi-Sheer_Striped_Sweater/img_00000040.jpg,2,5,3,2,3,1,2,3,1,0,0,0,0,1
84,Crochet-Trimmed Batwing Cardigan,Crochet-Trimmed_Batwing_Cardigan/img_00000006.jpg,2,2,6,2,3,1,6,3,0,0,0,1,0,4
102,Classic Denim Blazer,Classic_Denim_Blazer/img_00000129.jpg,2,1,6,1,3,1,1,3,1,0,1,1,1,5
112,Striped Ringer Pocket Tee,Striped_Ringer_Pocket_Tee/img_00000031.jpg,1,6,6,3,3,4,3,1,0,0,0,1,1,3
116,Faux Fur Bomber Jacket,Faux_Fur_Bomber_Jacket/img_00000004.jpg,3,3,6,1,3,1,5,3,1,0,0,1,0,5
128,Fuzzy Plaid Skirt,Fuzzy_Plaid_Skirt/img_00000009.jpg,6,2,7,3,3,4,3,3,0,0,0,1,1,2
131,High-Waisted Denim Shorts,High-Waisted_Denim_Shorts/img_00000017.jpg,6,4,6,3,3,4,1,3,0,0,1,1,1,5
145,Netted Mesh Tee,Netted_Mesh_Tee/img_00000045.jpg,1,6,2,2,3,1,2,3,0,0,0,1,1,4
154,Floral Print Tee,Floral_Print_Tee/img_00000073.jpg,1,6,1,2,3,1,3,3,0,0,0,1,1,5
170,High-Waisted Chino Shorts,High-Waisted_Chino_Shorts/img_00000015.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
181,Faux Leather Biker Jacket,Faux_Leather_Biker_Jacket/img_00000026.jpg,3,3,6,1,3,2,4,3,1,1,0,1,0,5
182,Crochet-Hemmed Denim Shorts,Crochet-Hemmed_Denim_Shorts/img_00000033.jpg,6,4,6,3,3,4,1,3,0,0,0,0,1,3
