id,name_1,img_route_1,cloth_category_1,cloth_subcategory_1,patron_1,sleeve_1,skirt_1,neckline_1,material_1,fit_1,isCold_1,isRainy_1,isWet_1,isTempered_1,isHot_1,nota_1,name_2,img_route_2,cloth_category_2,cloth_subcategory_2,patron_2,sleeve_2,skirt_2,neckline_2,material_2,fit_2,isCold_2,isRainy_2,isWet_2,isTempered_2,isHot_2,nota_2,name_3,img_route_3,cloth_category_3,cloth_subcategory_3,patron_3,sleeve_3,skirt_3,neckline_3,material_3,fit_3,isCold_3,isRainy_3,isWet_3,isTempered_3,isHot_3,nota_3,name_4,img_route_4,cloth_category_4,cloth_subcategory_4,patron_4,sleeve_4,skirt_4,neckline_4,material_4,fit_4,isCold_4,isRainy_4,isWet_4,isTempered_4,isHot_4,nota_4,name_5,img_route_5,cloth_category_5,cloth_subcategory_5,patron_5,sleeve_5,skirt_5,neckline_5,material_5,fit_5,isCold_5,isRainy_5,isWet_5,isTempered_5,isHot_5,nota_5,name_6,img_route_6,cloth_category_6,cloth_subcategory_6,patron_6,sleeve_6,skirt_6,neckline_6,material_6,fit_6,isCold_6,isRainy_6,isWet_6,isTempered_6,isHot_6,nota_6
51,Lace-Paneled Lattice-Back Blouse,Lace-Paneled_Lattice-Back_Blouse/img_00000051.jpg,1,1,6,3,3,4,3,1,0,0,0,1,1,4,Striped Crew Neck Sweater,Striped_Crew_Neck_Sweater/img_00000074.jpg,2,5,3,1,3,1,6,3,1,0,0,1,0,4,Hooded Bomber Jacket,Hooded_Bomber_Jacket/img_00000066.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,Contrast Drawstring Denim Shorts,Contrast_Drawstring_Denim_Shorts/img_00000032.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
52,Embroidered Mesh Gauze Blouse,Embroidered_Mesh_Gauze_Blouse/img_00000027.jpg,1,1,4,1,3,2,2,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Mineral Wash Pencil Skirt,Mineral_Wash_Pencil_Skirt/img_00000047.jpg,6,2,6,3,3,4,1,1,0,0,0,1,1,2
53,Belted Crop Top,Belted_Crop_Top/img_00000011.jpg,1,7,6,2,3,1,2,3,0,0,0,1,1,5,Open-Front Pointelle Cardigan,Open-Front_Pointelle_Cardigan/img_00000054.jpg,2,2,4,2,3,2,6,3,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Ripped Skinny Jeans,Ripped_Skinny_Jeans/img_00000004.jpg,6,8,6,3,3,4,1,1,1,1,1,1,1,4
54,Embroidered Bead Keyhole Blouse,Embroidered_Bead_Keyhole_Blouse/img_00000056.jpg,1,1,4,2,3,1,3,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,Zapatos formales,shoes/new_shoes10.jpg,5,9,0,0,0,0,4,1,1,0,0,1,1,3,Floral Lace Faux Leather Skirt,Floral_Lace_Faux_Leather_Skirt/img_00000039.jpg,6,2,6,3,3,4,3,1,0,0,0,1,0,5
55,Collared Surplice Blouse,Collared_Surplice_Blouse/img_00000094.jpg,1,1,6,2,3,1,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boina,hats/hat9.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Zapatillas de deporte,shoes/shoes9.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Distressed Cropped Jeans,Distressed_Cropped_Jeans/img_00000067.jpg,6,8,6,3,3,4,1,3,0,0,1,1,0,5
56,V-Neck Tank,V-Neck_Tank/img_00000042.jpg,1,5,6,3,3,4,3,3,0,0,0,0,1,5,Zippered Shawl Collar Blazer,Zippered_Shawl_Collar_Blazer/img_00000108.jpg,2,1,6,1,3,2,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Varsity-Striped Skirt,Varsity-Striped_Skirt/img_00000024.jpg,6,2,6,3,3,4,3,3,1,0,0,0,0,1
57,Athletic Mesh Sports Tank,Athletic_Mesh_Sports_Tank/img_00000042.jpg,1,5,6,3,3,1,2,1,0,0,1,1,1,4,Faux Leather Jersey,Faux_Leather_Jersey/img_00000052.jpg,2,4,6,1,3,2,3,3,1,0,0,1,0,4,Dallas Denim Jacket,Dallas_Denim_Jacket/img_00000036.jpg,3,3,2,1,3,1,1,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandalias,shoes/new_shoes5.jpg,5,5,0,0,0,0,4,1,0,0,0,1,1,2,Crochet Denim Cutoffs,Crochet_Denim_Cutoffs/img_00000011.jpg,6,1,4,3,3,4,1,3,0,0,0,1,1,1
58,Snoopy Graphic Baseball Tee,Snoopy_Graphic_Baseball_Tee/img_00000024.jpg,1,6,2,2,3,1,3,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Embroidered Lace-Up Poncho,Embroidered_Lace-Up_Poncho/img_00000019.jpg,3,6,4,2,3,2,3,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Linen-Blend Shorts,Linen-Blend_Shorts/img_00000013.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,3
59,Cotton V-Neck Tee,Cotton_V-Neck_Tee/img_00000030.jpg,1,6,6,2,3,2,3,3,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Floral Print Bomber Jacket,Floral_Print_Bomber_Jacket/img_00000078.jpg,3,3,1,1,3,2,3,3,1,0,1,1,1,1,Gorro para el sol,hats/new_hat1.jpg,4,1,6,0,0,0,6,2,0,0,0,1,1,3,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Crossover-Waist Athletic Shorts,Crossover-Waist_Athletic_Shorts/img_00000020.jpg,6,4,2,3,3,4,3,1,0,0,1,1,1,3
60,Crochet-Trimmed Medallion Print Tank,Crochet-Trimmed_Medallion_Print_Tank/img_00000031.jpg,1,5,2,3,3,4,3,3,0,0,0,1,1,3,Striped Fringe Cardigan,Striped_Fringe_Cardigan/img_00000082.jpg,2,2,6,1,3,2,6,3,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Reason Faux Suede Joggers,Reason_Faux_Suede_Joggers/img_00000044.jpg,6,10,2,3,3,4,3,3,1,1,1,1,1,5
61,Southwestern Print Racerback Tank,Southwestern_Print_Racerback_Tank/img_00000016.jpg,1,5,2,3,3,4,3,3,0,0,0,1,1,4,Boxy Open-Knit Sweater,Boxy_Open-Knit_Sweater/img_00000048.jpg,2,5,4,1,3,1,6,3,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Metallic Wrap Skirt,Metallic_Wrap_Skirt/img_00000004.jpg,6,2,6,3,3,4,4,3,0,0,0,1,1,1
